prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
178, 53	2	178	0, 1	1	0.682316118936	1.0	76	76	563
178, 56	2	178	0, 1	1	0.682316118936	0.993740219092	76	72	563
178, 62	2	178	0, 0	1	0.718309859155	0.990610328638	63	57	576
178, 96	2	178	0, 1	1	0.682316118936	0.990610328638	76	70	563
198, 110	2	198	0, 1	1	0.680751173709	0.992175273865	81	76	558
198, 134	2	198	0, 0	1	0.699530516432	0.992175273865	49	44	590
198, 153	2	198	0, 0	1	0.715179968701	0.992175273865	59	54	580
198, 176	2	198	0, 0	1	0.724569640063	0.992175273865	65	60	574
198, 178	2	198	0, 0	1	0.724569640063	0.992175273865	65	60	574
198, 281	2	198	0, 1	1	0.680751173709	0.992175273865	84	79	555
198, 29	2	198	0, 1	1	0.680751173709	0.992175273865	89	84	550
198, 304	2	198	0, 1	1	0.680751173709	0.992175273865	96	91	543
198, 314	2	198	0, 1	1	0.680751173709	0.992175273865	91	86	548
198, 333	2	198	0, 1	1	0.680751173709	0.992175273865	98	93	541
198, 372	2	198	0, 0	1	0.719874804382	0.992175273865	62	57	577
198, 51	2	198	0, 0	1	0.73082942097	0.992175273865	69	64	570
198, 53	2	198	0, 1	1	0.680751173709	0.992175273865	85	80	554
224, 110	2	224	1, 1	1	0.638497652582	0.993740219092	93	89	546
224, 134	2	224	1, 0	1	0.69014084507	0.993740219092	80	76	559
224, 153	2	224	1, 0	1	0.677621283255	0.993740219092	72	68	567
224, 176	2	224	1, 0	1	0.682316118936	0.993740219092	75	71	564
224, 178	2	224	1, 0	1	0.682316118936	0.993740219092	75	71	564
224, 281	2	224	1, 1	1	0.638497652582	0.993740219092	89	85	550
224, 29	2	224	1, 1	1	0.638497652582	0.993740219092	93	89	546
224, 304	2	224	1, 1	1	0.638497652582	0.993740219092	105	101	534
224, 314	2	224	1, 1	1	0.638497652582	0.993740219092	101	97	538
224, 333	2	224	1, 1	1	0.638497652582	0.993740219092	80	76	559
224, 372	2	224	1, 0	1	0.676056338028	0.993740219092	71	67	568
224, 51	2	224	1, 0	1	0.694835680751	0.993740219092	83	79	556
224, 53	2	224	1, 1	1	0.638497652582	0.993740219092	87	83	552
239, 110	2	239	1, 1	1	0.638497652582	0.992175273865	89	84	550
239, 134	2	239	1, 0	1	0.69014084507	0.992175273865	79	74	560
239, 153	2	239	1, 0	1	0.677621283255	0.992175273865	71	66	568
239, 176	2	239	1, 0	1	0.679186228482	0.992175273865	72	67	567
239, 178	2	239	1, 0	1	0.682316118936	0.992175273865	74	69	565
239, 281	2	239	1, 1	1	0.638497652582	0.992175273865	92	87	547
239, 29	2	239	1, 1	1	0.638497652582	0.992175273865	70	65	569
239, 304	2	239	1, 1	1	0.638497652582	0.992175273865	105	100	534
239, 314	2	239	1, 1	1	0.638497652582	0.992175273865	100	95	539
239, 333	2	239	1, 1	1	0.638497652582	0.992175273865	101	96	538
239, 372	2	239	1, 0	1	0.677621283255	0.992175273865	71	66	568
239, 51	2	239	1, 0	1	0.694835680751	0.992175273865	82	77	557
239, 53	2	239	1, 1	1	0.638497652582	0.992175273865	87	82	552
281, 0	2	281	1, 0	1	0.677621283255	0.995305164319	78	75	561
281, 106	2	281	1, 0	1	0.677621283255	0.993740219092	80	76	559
281, 110	2	281	1, 1	1	0.638497652582	1.0	93	93	546
281, 115	2	281	1, 1	1	0.638497652582	0.992175273865	96	91	543
281, 134	2	281	1, 0	1	0.69014084507	1.0	80	80	559
281, 151	2	281	1, 0	1	0.679186228482	0.996870109546	77	75	562
281, 153	2	281	1, 0	1	0.677621283255	1.0	72	72	567
281, 157	2	281	1, 0	1	0.672926447574	0.996870109546	73	71	566
281, 173	2	281	1, 0	1	0.674491392801	0.993740219092	78	74	561
281, 176	2	281	1, 0	1	0.682316118936	1.0	75	75	564
281, 178	2	281	1, 0	1	0.682316118936	1.0	75	75	564
281, 193	2	281	1, 0	1	0.671361502347	0.995305164319	74	71	565
281, 198	2	281	1, 0	1	0.680751173709	0.992175273865	84	79	555
